study_hours,attendance_pct,prev_exam_score,assignments_done,sleep_hours,final_score
0.9,74.9,93.4,5.0,6.5,69.6
0.9,70.9,72.3,5.0,8.8,58.1
8.6,73.6,43.0,4.0,6.9,83.5
7.2,68.1,74.2,9.0,4.1,81.2
5.0,79.0,34.7,6.0,6.5,70.9
1.4,81.6,32.0,9.0,4.2,60.0
5.2,50.7,46.7,7.0,9.8,67.1
5.0,83.2,60.1,6.0,4.8,70.1
2.1,58.9,86.4,4.0,8.2,64.0
4.6,98.1,77.3,0.0,9.8,70.4
4.3,57.4,78.3,4.0,9.0,65.5
6.4,70.7,57.7,9.0,8.2,82.4
6.5,54.3,52.5,1.0,9.0,63.3
0.9,99.8,54.1,4.0,9.9,60.5
4.1,73.6,94.2,4.0,7.7,72.0
6.4,79.8,32.6,1.0,7.4,62.9
5.3,53.4,86.4,4.0,7.8,77.8
8.6,87.5,67.6,3.0,7.2,86.8
6.8,60.5,58.5,0.0,7.8,67.5
2.0,94.9,77.1,2.0,6.7,71.9
1.2,60.3,61.6,0.0,5.3,48.1
6.6,59.5,86.8,10.0,4.7,87.2
0.8,51.8,88.5,4.0,4.4,56.7
6.1,73.6,57.4,3.0,5.6,62.8
9.4,78.2,48.0,6.0,4.3,81.8
6.0,53.3,68.5,4.0,7.4,71.9
4.2,88.8,89.3,9.0,5.7,91.9
6.6,72.7,43.7,3.0,8.9,68.8
4.9,76.2,70.5,1.0,4.4,62.4
5.7,72.0,71.1,3.0,5.4,69.3
9.4,70.0,77.7,1.0,8.4,87.4
4.2,78.0,38.6,7.0,7.6,67.2
9.6,57.8,76.5,2.0,4.4,79.7
9.1,59.1,89.1,8.0,9.3,93.7
2.4,93.1,41.7,3.0,9.3,47.0
1.2,97.3,45.4,5.0,6.0,69.7
1.5,68.7,93.1,9.0,6.0,69.2
0.7,63.5,41.8,4.0,7.0,44.7
1.4,82.2,85.5,9.0,7.8,67.3
7.0,70.4,62.0,0.0,7.2,69.4
1.2,51.3,46.1,8.0,9.0,56.1
3.5,57.8,86.6,0.0,5.7,52.7
8.5,85.8,58.9,7.0,6.6,95.1
0.7,82.9,63.5,8.0,5.6,63.1
8.2,51.4,53.4,8.0,8.7,80.0
3.2,61.1,68.5,0.0,7.4,59.2
1.6,61.6,40.6,1.0,8.0,47.0
7.1,83.6,55.4,0.0,5.5,69.2
6.5,51.0,93.0,9.0,5.3,81.9
8.8,55.2,46.8,1.0,7.0,64.7
7.5,90.0,72.7,9.0,8.4,95.9
8.1,58.9,51.1,7.0,7.2,86.1
3.2,82.6,80.3,4.0,4.2,60.8
2.2,61.9,38.5,10.0,9.2,55.4
7.6,55.0,93.0,6.0,4.4,81.2
8.2,62.2,59.5,1.0,9.7,70.8
9.9,86.1,45.3,7.0,4.2,91.9
4.4,92.8,34.8,10.0,8.2,75.6
4.0,91.5,41.0,5.0,4.5,64.8
7.9,69.9,63.8,7.0,9.5,86.4
3.7,83.4,51.9,0.0,6.8,63.6
9.3,60.2,83.9,0.0,4.8,81.3
8.7,64.7,58.0,6.0,6.0,83.3
4.6,94.8,46.2,7.0,5.0,78.5
7.6,50.7,70.1,2.0,5.0,67.7
7.7,54.3,75.9,4.0,9.7,71.4
1.5,60.4,40.9,0.0,6.7,46.5
9.1,51.3,40.9,6.0,8.7,68.5
5.4,59.1,32.4,4.0,7.8,60.4
8.4,79.2,77.9,7.0,8.1,91.3
3.5,71.1,73.1,7.0,4.8,64.3
9.0,94.6,60.9,8.0,5.4,92.1
4.2,90.9,84.9,6.0,8.7,80.3
0.6,67.1,82.4,10.0,9.8,68.0
9.1,63.0,68.0,0.0,5.6,74.2
1.4,69.0,86.4,2.0,5.6,64.1
3.5,79.5,43.4,7.0,6.8,67.7
9.5,63.4,37.3,2.0,9.9,75.6
9.5,81.2,47.5,7.0,5.6,86.6
5.9,70.5,33.7,0.0,6.4,59.8
6.5,77.6,64.5,4.0,9.3,77.0
4.8,71.8,90.9,3.0,4.0,70.3
3.3,64.7,32.6,4.0,4.2,55.0
3.6,97.4,37.9,7.0,7.6,62.8
5.4,88.2,59.4,9.0,9.4,95.8
7.6,57.0,90.7,3.0,5.4,83.0
8.0,93.4,50.6,10.0,6.8,93.0
8.0,74.4,63.0,3.0,6.7,78.3
1.4,94.7,32.7,2.0,6.8,51.0
5.2,90.0,39.6,6.0,7.7,76.4
1.0,71.3,94.1,2.0,6.8,65.4
5.7,51.1,92.7,4.0,6.7,70.8
4.7,63.4,30.3,10.0,6.8,72.5
8.9,77.1,91.9,9.0,7.5,97.0
3.8,81.7,71.5,4.0,7.2,67.3
1.6,62.9,86.4,4.0,9.1,67.1
1.9,57.0,59.6,5.0,4.3,54.9
7.7,91.7,63.5,7.0,9.0,94.4
6.4,99.2,61.8,9.0,9.1,85.5
1.5,76.3,73.3,5.0,5.7,59.4
1.3,58.6,39.1,0.0,6.8,40.5
7.2,63.6,31.9,7.0,6.6,69.4
1.2,50.9,50.0,7.0,5.3,53.8
8.3,95.7,75.8,8.0,6.4,95.5
7.2,55.9,43.1,8.0,4.3,66.4
1.3,78.8,73.8,1.0,5.7,57.9
1.3,63.7,93.0,1.0,8.9,51.4
9.9,77.7,36.1,2.0,5.7,71.9
4.1,82.6,73.7,0.0,8.9,66.3
4.0,91.5,58.8,3.0,7.2,63.6
8.2,60.3,86.4,3.0,9.3,83.3
9.5,50.5,41.5,8.0,7.4,75.1
9.9,56.8,75.0,8.0,4.2,79.6
7.7,95.0,84.5,8.0,8.1,96.8
4.1,93.7,91.4,9.0,4.3,85.7
1.3,79.9,74.4,6.0,6.7,68.0
7.9,80.0,62.3,1.0,9.6,76.0
5.8,83.3,70.2,9.0,5.0,80.1
4.5,58.8,86.5,4.0,6.3,73.6
9.1,95.7,67.1,3.0,8.4,94.7
1.6,70.9,32.0,10.0,9.3,52.4
5.2,69.2,90.5,7.0,8.0,80.9
0.6,75.9,74.8,1.0,5.5,52.8
5.0,52.3,74.0,5.0,8.0,69.6
1.0,58.3,44.0,4.0,5.8,46.5
5.4,86.9,72.8,1.0,8.3,60.3
1.6,54.1,55.6,10.0,9.7,59.7
6.7,80.2,72.3,9.0,8.3,83.8
7.6,62.3,36.9,0.0,9.2,65.0
6.0,69.5,72.8,7.0,4.0,80.6
9.6,64.4,95.0,1.0,8.3,93.9
4.1,67.8,33.1,6.0,9.0,51.4
3.2,86.0,93.5,8.0,4.2,77.7
8.8,64.9,56.4,8.0,9.2,76.1
2.6,78.3,86.6,7.0,5.5,63.9
9.7,73.8,80.9,10.0,8.0,100.0
0.6,83.2,66.9,9.0,7.0,64.1
9.7,96.8,78.0,8.0,8.0,100.0
0.9,86.6,87.1,1.0,4.6,61.5
9.0,60.7,56.3,5.0,7.6,86.1
5.5,51.6,51.3,3.0,7.3,62.2
9.9,63.1,73.4,3.0,9.4,95.2
1.2,79.8,82.5,4.0,6.4,65.8
5.8,52.6,79.5,2.0,5.9,75.7
9.7,74.8,81.9,0.0,8.5,76.4
5.5,79.8,58.3,7.0,6.5,83.5
6.5,73.6,83.2,4.0,7.9,78.4
7.1,88.5,37.8,2.0,7.9,65.7
4.8,55.3,65.4,9.0,9.3,72.3
6.5,53.8,30.4,6.0,7.6,64.1
6.1,86.4,51.1,6.0,7.0,81.4
9.1,74.8,53.8,0.0,4.8,79.4
0.9,84.4,55.8,8.0,4.7,55.8
3.2,71.7,75.2,1.0,4.9,64.9
9.5,62.3,55.3,4.0,5.0,79.8
9.0,91.0,59.2,4.0,7.8,94.7
4.8,90.0,45.4,7.0,8.4,73.8
5.4,84.7,54.3,7.0,7.2,80.0
3.1,63.6,44.8,6.0,9.0,58.2
2.3,79.5,34.8,6.0,9.9,55.8
4.9,68.0,69.2,10.0,8.9,75.4
3.9,54.6,73.4,5.0,8.2,63.2
6.0,95.9,70.3,5.0,7.2,79.9
1.2,56.8,60.1,10.0,6.7,59.5
9.8,97.5,54.7,8.0,4.5,98.8
9.9,72.3,86.1,5.0,6.4,94.6
20.0,58.1,72.8,4.0,9.8,54.0
1.1,73.6,75.0,1.0,1.0,67.2
8.7,100.0,85.2,4.0,4.9,93.4
